ditto mark,〃
force attacking the front of a castle,大手
huge tree,大樹
abbey,大修道院
archimandrite,大修道院長
the masses,大衆
popular literature,大衆文学
"major heat" solar term (approx. July 23),大暑
writing in large letters,大書
giantess,大女
crushing victory,大勝
big and small,大小
burst of laughter,大笑い
imperial rescript,大詔
first prize,大賞
fine figure of a man,大丈夫
cabinet minister,大臣
grown-up,大人
childish,大人気無い
sober,温和しい
adult,大人っぽい
flood,大水
in great numbers,大ぜい
tide (e.g. of public opinion),大勢
huge success,大成功
Taisho era,大正
Taisho period,大正時代
college student,大生
large portion,大盛
great sage,大聖
loud voice,大声
Atlantic Ocean,大西洋
trans-Atlantic crossing,大西洋横断
long ago,大むかし
careful,大切
"major snow" solar term (approx. Dec. 7),大雪
world war,大戦
complete works,大全
exaggerated,大そう
spring cleaning,大掃除
professional sumo wrestling,大相撲
furor,大騒ぎ
Ministry of Finance,大蔵
Ministry of the Treasury (under the ritsuryō system),大蔵省
Minister of Finance,大蔵大臣
heavy loss,大損
great majority,大多数
to begin with,大体
battalion,大隊
main telephone number,大代
audacious,大胆
giant,大男
the (vast) land,大地
signal ground,大地アース
large earthquake,大地震
large, medium and small (businesses, rooms, etc.),大中小
colon,大腸
main street,大通り
moderate,大てい
archenemy,大敵
big city,大都会
large city,大都市
Greater East Asia Co-Prosperity Sphere,大東亜共栄圏
grand unified theory,大統一理論
mate,大統領
presidential election,大統領選
presidential election,大統領選挙
soy,大豆
essentially the same with only minor differences,大同小異
fighting with dishevelled hair,大わらわ
rich person,大徳
Supreme Buddha of Sino-Japanese esoteric Buddhism,大日
capacity audience,大入り
cerebrum,大脳
large wave,大波
grand jury,大陪審
barley (Hordeum vulgare),大麦
nearly,大半
strong opposition,大反対
large bottle,大瓶
much,大部
majority,大部分
rodomontade,大風呂敷
full-width cloth (approx. 72 cm wide for traditional Japanese clothing; approx. 140 cm wide for Western clothing),大巾
widescale reform,大幅刷新
large statue of Buddha (trad. at least 4.8m high),大仏
valuable thing,大物
a lot,大分
Ōita Prefecture (Kyūshū),大分県
huge character "dai" formed by fires lit on the side of a mountain in Kyoto on August 16 each year,大文字
large paragraph,大文節
large pattern,大柄
broad categorization,大別
disaster,大へん
stool,大便
perhaps,大方
artillery,大砲
ambition,大望
gist,凡
Shinto paper offerings,大麻
large sum (of money),大枚
daimyo (Japanese feudal lord),大名
large tree,大木
to be forgiving,大目にみる
good scolding,大目玉
outline,大要
marble,大理石
continental Europe,大陸
ICBM,大陸間弾道ミサイル
continental shelf,大陸棚
large grain-like object (grape, cherry, etc.),大粒
mass (e.g. mass production, mass transit, mass destruction),大量
mass production,大量生産
WMD,大量破壊兵器
Yamato-e (classical Japan decorative paintings),倭絵
the Japanese spirit,大和魂
Yamato period (300-550 CE),大和時代
toucan,巨嘴鳥
prefix for forming ordinal numbers,第
to begin with,第１
first place,第１位
first impression,第一印象
first lesson,第一課
first movement (mus),第一楽章
first chapter,第１章
first article,第一条
first hearing,第一審
foremost figure,第一人者
assistant chief of staff, g1,第一部長
first step,第一歩
disinterested person,第三者
assistant chief of staff, g3,第三部長
second,第２
the second ...,第二次
WW2,第２次大戦
assistant chief of staff, g2,第二部長
second quantization,第二量子化
hunch,第六感
Buddha's gracious teachings,だいご味
counter for questions (on a test),題
theme,題材
heading,題名
theme,題目
falcon,鷹
rapids,瀧
top of a waterfall,滝口
rapids,滝川
plunge pool,滝つぼ
(fish) climbing (swimming) up waterfall,滝登り
tabletop incense burner,卓
transcendence,卓越
prevailing wind,卓越風
ping-pong,卓球
wisdom,卓見
great efficiency,卓効
excellent idea,卓識
prevalence,卓出
after-dinner speech,卓上
desk phone,卓上電話
excellent opinion,卓説
prevalence,卓抜
excellent literary work,卓筆
table use,卓用
clever presentation,卓論
round table meeting or talks,卓話会
woodpecker,啄木鳥
one's husband,宅
TA-Q-BIN (express home delivery service provided by Yamato Transport),宅急便
residential land,宅地
home delivery,宅配
express home delivery parcel (box, etc.),宅配便
going with one's bowl to the meditation hall at mealtime (in a Zen temple),托鉢
multiple choice,択一
alternative,択一的
exploitation,拓植
folio of rubbings,拓本
marsh,沢
pickled daikon radish,沢庵
too much,沢山
to make an excuse for,託つ
to use as an excuse,託つける
day-care center,託児所
divine message,託宣
consignment,託送
to be noncommittal about,濁す
unrefined sake,濁り
voiced consonant marks,濁り点
to add voiced consonant marks,濁る
voiced consonant in Japanese,濁音
dakuten,濁点
muddy stream,濁流
accept or reject,諾否
mushroom,菌
kite flying,たこ上げ
flogging,敲き
to beat up (till unable to stand),叩きのめす
to break into pieces,たたき割る
to knock on the door and wake someone,たたき起こす
to drill into,叩きこむ
to hammer (pattern, etc.) into metal,たたき出す
to beat out (a fire),叩き消す
to chop off (e.g. a head),叩ききる
to defeat crushingly,叩き潰す
to thrust at someone (e.g. a letter),たたき付ける
to utterly defeat,叩き伏せる
to knock off,叩き落とす
to invoke (e.g. a function),敲く
provided that,但し
conditional,但し付き
pluralizing suffix (esp. for people and animals; formerly honorific),達
to arrive at,達する
expert,達者
expert,達人
realization,達成
level of achievement,達成度
prostitute,達磨
third month of the lunar calendar,辰
year of the Dragon,辰年
to fight for,奪い合う
to snatch,奪いとる
to recapture,奪い返す
to steal,奪う
recapture,奪回
ablative,奪格
taking back,奪還
dispossession,奪取
to discard,脱ぎ棄てる
to undress,脱ぐ
to slip off,脱げる
to get out,脱する
dressing room,脱衣場
dislocation,脱臼
outgrowing,脱却
threshing (e.g. rice),脱穀
threshing machine,脱穀機
escaped prisoner,脱獄囚
absorbent cotton,脱脂綿
omitted letter,脱字
caret (symbol for omitted word),脱字記号
proptosis,脱出
bleaching,脱色
desiccation,脱水
tax evasion,脱税
deviation,脱線
pulling out,脱退
abdominal hernia,脱腸
with lightning speed,脱兎の如く
breaking with (convention, etc.),脱皮
evasion of the law,脱法行為
taking one's hat off to,脱帽
depilation,脱毛
shedding,脱落
omission,脱漏
gangrene,脱疽
lyre,たて琴
to finally hit on (e.g. an idea),辿りつく
to follow (hyperlink),辿る
trellis,棚
faultfinding,店卸し
keeping (goods) off the market (to adjust the supply-demand balance),棚上げ
opening,谷あい
mountain stream,谷川
bottom of a ravine,谷底
sly person,貍
soba with tempura batter,狸蕎麦
Pacific cod (Gadus macrocephalus),鰔
cod roe (roe of any fish from family Gadidae, esp. salted walleye pollack roe),タラ子
(eating or drinking) to one's heart's content,鱈腹
who,誰
somebody,誰か
whoever,誰でも
nobody,誰も
nobody knows,誰知らぬ
Mr So-and-so,誰某
vermilion,丹
cinnabar,丹砂
vermilion,丹朱
red,丹色
faithfulness,丹心
pains,丹誠
picture,丹青
large padded kimono,丹前
point below the navel (a focus point for internal meditative techniques),丹田
vermillion lacquering,丹塗
erysipelas,丹毒
elaborate,丹念
red and green,丹碧
sheer,単なる
solely,単に
in amounts of,単位
unit symbol,単位記号
unit matrix,単位行列
credit system,単位制度
local labour union,単位組合
local labour union,単位労働組合
unitary,単一
unification,単一化
monomorphic,単一形
henotheism,単一神教
unitary,単一性
currency unification,単一通貨
monotone (harmonica, etc.),単音
monosyllabic,単音節
monosyllable,単音節語
unit cost,単価
one-horned,単角
single kanji,単漢字
uncomplicated,短簡
ocellus,単眼
monocle,単眼鏡
lone plane,単機
voting for one person only,単記
voting for one person only,単記投票
wait for half of one's pair with four melds completed,単騎
single-grade (classroom),単級
simple phrase,単句
teaching unit,単元
vocabulary,単語
word search,単語検索
word book,単語集
vocabulary,単語篇
monograph,単行書
separate volume,単行本
unary,単項
single-seater,単座機
single-seated,単坐式
one-track-minded person,單細胞
single crop,単作
AA cell,単三
monocotyledon,単子葉
singles (tennis, badminton, etc.),単試合
single-entry (bookkeeping),単式
simple volcano,単式火山
single-grade (classroom),単式学級
single-entry bookkeeping,単式簿記
monomorphism,単射
motorbike,単車
single column (in marching),単従陣
single column,単縦列
naive,単純
putting it simply,単純に言えば
simplification,単純化
simple calculation,単純計算
simplicity,単純性
monochrome,単色
monochrome picture,単色画
